chapter_number,volume,name,romanized_title,viz_title,pages,date,episodes,,,,
959,95,Samurai,Samurai,Samurai,17,21/10/2019,"Episode 959 (p. 2-9), Episode 960 (p. 10-17)",,,,
960,95,Introducing Kozuki Oden,Kozuki Oden Tojo,Introducing Kozuki Oden,17,28/10/2019,Episode 960 (p. 2-17),,,,
961,95,The Mountain God Incident,Yama no Kami Jiken,The Mountain God Incident,17,02/11/2019,Episode 961 (p. 2-17),,,,
962,95,Daimyo and Retainers,Daimyo to Kashin,Daimyo and Vassals,13,18/11/2019,"Episode 961 (p. 2-7), Episode 962 (p. 8-13)",,,,
963,95,Becoming Samurai,Samurai ni Naru,Becoming Samurai,17,25/11/2019,"Episode 962 (p. 2-15), Episode 963 (p. 15-17)",,,,
964,95,Oden's Adventure,Oden no Boken,Oden's Adventure,17,02/12/2019,"Episode 963 (p. 2-11), Episode 964 (p. 11-17)",,,,
965,96,The Kurozumi Family's Plot,Kurozumi-ke no Inbo,The Kurozumi Clan's Plot,17,16/12/2019,"Episode 964 (p. 2-6), Episode 965 (p. 7-17)",,,,
966,96,Roger and Whitebeard,Roja to Shirohige,Roger and Whitebeard,17,23/12/2019,"Episode 965 (p. 2-5), Episode 966 (p. 6-15), Episode 967 (p. 16-17)",,,,
967,96,Roger's Adventure,Roja no Boken,Roger's Adventure,19,04/01/2020,"Episode 967 (p. 3-11), Episode 968 (p. 11-19)",,,,
968,96,Oden's Return,Oden no Kikan,Oden's Return,17,20/01/2020,"Episode 969 (p. 2-14), Episode 970 (p. 15-17)",,,,
969,96,Fool of a Lord,Baka-tono,Fool of a Lord,17,27/01/2020,"Episode 970 (p. 2-11), Episode 971 (p. 12-17)",,,,
970,96,Oden vs. Kaidou,Oden Basasu Kaido,Oden vs. Kaido,17,03/02/2020,"Episode 971 (p. 2-8), Episode 972 (p. 9-17)",,,,
971,96,Sentenced to Boil,Kamayude no Kei,Sentenced to Boil,17,17/02/2020,"Episode 972 (p. 2-6), Episode 973 (p. 6-17)",,,,
972,96,"I am Oden, And I Was Born to Boil",Niete Nanbo no Oden ni Soro,"I am Oden, And I Was Born to Boil",19,22/02/2020,"Episode 974 (p. 3-17), Episode 975 (p. 17-19)",,,,
973,96,The Kozuki Clan,Kozuki no Ichizoku,The Kozuki Clan,17,09/03/2020,"Episode 975 (p. 2-12), Episode 976 (p. 12-17)",,,,
974,96,Onward to Onigashima!!,"Iza, Onigashima!!",Onward to Onigashima!!,17,16/03/2020,"Episode 976 (p. 2-7), Episode 977 (p. 7-17)",,,,
975,97,Kin'emon's Clever Trick,Kin'emon no ikkei,Kin'emon's Clever Trick,17,23/03/2020,"Episode 978 (p. 2-10), Episode 979 (p. 11-17)",,,,
976,97,Begging Your Pardon!!!,Ohikenasutte!!!,Begging Your Pardon!!!,19,06/04/2020,"Episode 979 (p. 3-7), Episode 980 (p. 8-19)",,,,
977,97,The Party's Off!!!,Utage wa Yame da!!!,The Party's Off!!!,17,13/04/2020,"Episode 981 (p. 2-7, 9-10), Episode 982 (p. 8, 11-14, 16-17), Episode 983 (p. 14-15)",,,,
978,97,Introducing the Tobiroppo,Tobi Roppo Tojo,Introducing the Tobi Roppo,17,27/04/2020,"Episode 982 (p. 11-17), Episode 983 (p. 2-11)",,,,
979,97,Family Problem,Kazoku Mondai,Family Problem,17,11/05/2020,"Episode 984 (p. 2-9, 16-17), Episode 985 (p. 10-15)",,,,
980,97,Fighting Music,Tatakau Myujikku,Fighting Music,17,25/05/2020,"Episode 985 (p. 2-6), Episode 986 (p. 7-17)",,,,
981,97,Joining the Fight,Sansen,Joining the Fight,19,08/06/2020,"Episode 987 (p. 3-14), Episode 988 (p. 14-19)",,,,
982,97,Scoundrel Meets Scoundrel,Bureimono Mitsu Bureimono,Scoundrel Meets Scoundrel,17,15/06/2020,"Episode 988 (p. 2-4, 9-10), Episode 989 (p. 5-8, 11-17)",,,,
983,97,Thunder,Raimei,Thunder,17,22/06/2020,"Episode 990 (p. 7-17), Episode 991 (p. 2-6)",,,,
984,97,My Bible,Boku no Baiburu,My Bible,17,06/07/2020,"Episode 991 (p. 2-5), Episode 992 (p. 6-17)",,,,
